Momentum,Reflexion,Tran_Lower,Tran_Upper,Ref_Upper
1.0000000,1.0000000,0.0000000,0.0000000,0.0000000
2.0000000,1.0000000,0.0000000,0.0000000,0.0000000
3.0000000,1.0000000,0.0000000,0.0000000,0.0000000
4.0000000,1.0000000,0.0000000,0.0000000,0.0000000
5.0000000,0.0500000,0.9500000,0.0000000,0.0000000
6.0000000,0.1000000,0.9000000,0.0000000,0.0000000
7.0000000,0.1500000,0.8500000,0.0000000,0.0000000
8.0000000,0.0500000,0.9500000,0.0000000,0.0000000
9.0000000,0.0000000,0.9000000,0.1000000,0.0000000
10.0000000,0.0000000,0.8500000,0.1500000,0.0000000
11.0000000,0.0000000,0.8000000,0.2000000,0.0000000
12.0000000,0.0000000,0.8000000,0.2000000,0.0000000
13.0000000,0.0000000,0.7000000,0.3000000,0.0000000
14.0000000,0.0000000,0.7500000,0.2500000,0.0000000
15.0000000,0.0000000,0.7000000,0.3000000,0.0000000
16.0000000,0.0000000,0.6000000,0.4000000,0.0000000
17.0000000,0.0000000,0.5500000,0.4500000,0.0000000
18.0000000,0.0000000,0.6500000,0.3500000,0.0000000
19.0000000,0.0000000,0.5500000,0.4500000,0.0000000
20.0000000,0.0000000,0.5000000,0.5000000,0.0000000
21.0000000,0.0000000,0.4500000,0.5500000,0.0000000
22.0000000,0.0000000,0.1500000,0.8500000,0.0000000
23.0000000,0.0000000,0.5000000,0.5000000,0.0000000
24.0000000,0.0000000,0.3500000,0.6500000,0.0000000
25.0000000,0.0000000,0.4500000,0.5500000,0.0000000
26.0000000,0.0000000,0.3000000,0.7000000,0.0000000
27.0000000,0.0000000,0.3000000,0.7000000,0.0000000
28.0000000,0.0000000,0.3500000,0.6500000,0.0000000
29.0000000,0.0000000,0.3000000,0.7000000,0.0000000
30.0000000,0.0000000,0.3500000,0.6500000,0.0000000
